Open,High,Low,Close,Adj Close,Volume
1937.95,1978.80,1911.40,1908.40,1908.40,44649543.00
1934.00,1941.70,1887.30,1917.00,1917.00,31073305.00
1903.35,1947.70,1900.00,1935.00,1935.00,32124262.00
1828.50,1884.60,1824.25,1878.05,1878.05,20195218.00
1809.00,1835.00,1786.25,1824.25,1824.25,16807336.00
1824.05,1834.95,1790.00,1798.00,1798.00,12093186.00
1860.00,1864.35,1806.30,1823.45,1823.45,16239990.00
1805.00,1858.00,1792.10,1851.80,1851.80,21697962.00
1779.80,1793.00,1768.00,1787.90,1787.90,13583909.00
1743.00,1767.60,1735.05,1760.35,1760.35,13286365.00
1720.00,1749.00,1708.05,1737.60,1731.10,13136179.00
1737.00,1741.00,1695.55,1704.10,1697.73,13972563.00
1728.05,1739.75,1715.55,1723.15,1716.70,11824524.00
1728.80,1752.00,1717.00,1741.65,1735.13,14270458.00
1727.00,1749.00,1713.05,1717.90,1711.47,18312025.00
1735.90,1772.70,1711.70,1727.85,1721.39,23807033.00
1750.00,1763.75,1716.10,1720.90,1714.46,17519493.00
1773.40,1804.20,1735.00,1746.15,1739.62,27781693.00
1670.00,1788.80,1662.00,1759.40,1752.82,48828609.00
1607.00,1665.00,1605.60,1655.90,1649.71,18677617.00
1608.25,1635.45,1602.10,1615.35,1609.31,19282411.00
1643.00,1648.55,1585.30,1617.70,1611.65,23622794.00
1565.00,1626.95,1561.10,1614.55,1608.51,24509058.00
1500.00,1593.00,1497.00,1588.80,1582.86,17790311.00
1566.00,1567.95,1531.00,1537.70,1531.95,9408046.00
1543.10,1579.55,1540.05,1572.15,1566.27,10214213.00
1560.30,1583.00,1533.00,1537.15,1531.40,11933076.00
1618.40,1618.40,1565.00,1569.50,1563.63,14497996.00
1595.00,1618.00,1573.70,1581.70,1575.78,15264885.00
1544.00,1589.50,1541.00,1579.80,1573.89,15784379.00
1545.00,1560.00,1533.35,1541.65,1535.88,11713461.00
1526.00,1540.00,1520.80,1535.70,1529.96,10224049.00
1480.00,1538.35,1475.95,1520.35,1514.66,18434012.00
1468.00,1472.00,1452.65,1464.40,1458.92,18470390.00
1455.00,1479.75,1449.00,1472.25,1466.74,18518271.00
1431.00,1454.00,1412.00,1445.55,1440.14,16460756.00
1448.15,1449.70,1416.30,1424.05,1418.72,15329472.00
1451.80,1458.00,1426.50,1431.55,1426.19,17458065.00
1435.00,1461.45,1425.00,1441.25,1435.86,18076017.00
1410.00,1446.85,1393.00,1433.70,1428.34,25530626.00
1457.00,1461.70,1403.25,1408.90,1403.63,19528760.00
1470.00,1482.00,1428.00,1440.75,1435.36,28980385.00
1444.00,1466.70,1415.10,1459.40,1453.94,28683258.00
1469.00,1496.70,1430.05,1435.95,1430.58,22736607.00
1527.00,1527.00,1454.00,1496.45,1490.85,30657492.00
1550.11,1553.62,1451.24,1465.36,1459.88,46465281.00
1565.16,1599.84,1557.54,1561.99,1556.15,30959745.00
1530.49,1565.06,1522.67,1547.13,1541.34,38887255.00
1441.34,1499.44,1431.43,1492.80,1487.22,23087436.00
1450.25,1471.01,1431.93,1447.03,1441.62,18685710.00
1440.05,1465.11,1433.61,1446.93,1441.52,20723079.00
1426.48,1451.24,1404.14,1421.72,1416.40,24670336.00
1440.30,1480.91,1424.55,1452.23,1446.80,32926121.00
1444.90,1453.65,1420.00,1426.95,1421.61,17141303.00
1450.00,1455.45,1392.15,1428.15,1422.81,35866256.00
1434.00,1475.00,1423.00,1429.75,1424.40,26736415.00
1350.15,1494.95,1347.20,1417.00,1411.70,61711199.00
1367.35,1385.85,1353.30,1370.90,1365.77,29928168.00
1320.00,1384.90,1300.00,1363.60,1358.50,65230035.00
1210.00,1252.00,1164.00,1237.35,1232.72,28057044.00
1226.00,1257.00,1202.00,1243.80,1239.15,16472130.00
1216.00,1230.00,1192.65,1224.00,1219.42,15209621.00
1149.85,1187.45,1145.00,1168.05,1163.68,17123489.00
1197.05,1236.00,1143.00,1149.85,1145.55,16147958.00
1203.95,1215.00,1180.00,1189.15,1184.70,10822858.00
1214.00,1232.80,1193.00,1219.95,1215.39,15101511.00
1180.00,1229.00,1160.00,1192.15,1187.69,22803609.00
1102.10,1214.00,1100.00,1206.10,1201.59,24857792.00
1134.45,1134.45,1056.30,1077.45,1073.42,18911970.00
1122.25,1124.60,1045.20,1080.45,1076.41,19016959.00
1073.95,1129.80,1048.00,1113.75,1109.58,20249183.00
1040.60,1074.80,1020.00,1030.45,1026.60,13820078.00
1095.00,1107.30,1046.20,1065.60,1061.61,19044609.00
1095.80,1116.90,1042.35,1066.20,1062.21,20912841.00
963.80,1151.55,963.25,1082.25,1078.20,33432712.00
930.00,970.00,895.80,943.40,939.87,20908452.00
916.20,950.00,875.65,884.05,880.74,18593390.00
939.50,1034.90,930.00,1017.95,1014.14,28966278.00
920.10,967.00,892.20,917.70,914.27,28071848.00
1025.30,1035.90,961.00,968.50,964.88,20449241.00
1047.25,1060.00,1003.20,1008.00,1004.23,20776373.00
1060.55,1079.70,1005.00,1015.70,1011.90,17592794.00
998.00,1140.00,942.40,1105.30,1101.17,33509107.00
1085.00,1101.00,1048.70,1063.00,1059.02,25587823.00
1108.00,1178.45,1108.00,1153.55,1149.23,27237321.00
1240.05,1241.00,1095.00,1114.15,1109.98,40316138.00
1270.00,1288.15,1241.10,1271.00,1266.25,15422068.00
1352.20,1357.95,1306.00,1311.15,1306.25,13948324.00
1352.00,1353.80,1307.90,1339.70,1334.69,10105782.00
1329.70,1353.90,1322.00,1342.85,1337.83,12525809.00
1355.10,1369.00,1301.10,1316.15,1311.23,13486634.00
1354.90,1357.00,1325.00,1328.65,1323.68,17973847.00
1388.00,1393.80,1369.00,1386.25,1381.06,11454300.00
1410.00,1412.35,1387.35,1392.00,1386.79,13423661.00
1451.40,1451.40,1410.00,1416.40,1411.10,12684109.00
1469.75,1477.00,1439.55,1444.95,1439.54,9769743.00
1497.00,1508.00,1483.80,1485.95,1480.39,7722577.00
1479.35,1506.45,1475.10,1503.80,1498.17,6438918.00
1475.90,1475.90,1457.40,1467.40,1461.91,5086964.00
1489.00,1506.15,1474.30,1478.25,1472.72,6011340.00
1477.25,1501.45,1453.10,1487.60,1482.04,9704655.00
1477.75,1477.75,1462.60,1474.15,1468.64,6201763.00
1456.15,1474.85,1455.00,1470.30,1464.80,6187091.00
1447.40,1466.20,1445.05,1452.75,1447.32,6400245.00
1428.00,1445.50,1410.45,1435.60,1430.23,6922631.00
1451.00,1452.35,1428.30,1433.65,1428.29,5581641.00
1454.10,1467.00,1440.10,1457.80,1452.35,7103715.00
1434.90,1452.80,1430.30,1448.50,1443.08,8444823.00
1400.00,1432.50,1397.80,1426.40,1421.06,11604666.00
1369.90,1399.95,1363.05,1385.50,1380.32,14040626.00
1453.00,1453.25,1407.20,1411.65,1406.37,15886673.00
1479.00,1479.70,1440.00,1443.75,1438.35,10241756.00
1474.05,1494.40,1464.05,1479.85,1474.31,11313297.00
1508.60,1510.00,1463.60,1471.75,1466.24,11215313.00
1514.90,1524.45,1505.00,1506.55,1500.91,6120429.00
1527.00,1536.35,1518.55,1521.55,1515.86,6687633.00
1536.50,1541.95,1520.70,1526.85,1521.14,5142088.00
1544.00,1546.75,1531.10,1533.35,1527.61,4719245.00
1528.60,1545.85,1522.00,1533.90,1528.16,8650831.00
1609.00,1609.00,1526.40,1532.35,1526.62,14878868.00
1553.50,1584.95,1553.20,1581.00,1575.09,13469708.00
1529.00,1543.35,1528.00,1537.90,1532.15,5873662.00
1535.85,1539.90,1518.25,1523.85,1518.15,7231393.00
1540.00,1550.00,1521.85,1529.40,1523.68,7230788.00
1545.05,1558.70,1538.40,1543.70,1537.93,8358090.00
1551.90,1557.95,1539.65,1547.65,1541.86,5704686.00
1538.60,1550.00,1531.25,1548.00,1542.21,6849606.00
1515.00,1534.45,1510.00,1513.15,1507.49,7336561.00
1519.00,1534.50,1513.50,1524.60,1518.90,7627191.00
1520.00,1527.90,1498.00,1501.50,1495.88,11209343.00
1533.00,1541.65,1523.00,1537.15,1531.40,9593498.00
1512.00,1540.95,1512.00,1535.30,1529.56,8096561.00
1518.00,1527.10,1505.50,1509.60,1503.95,6402372.00
1542.00,1543.70,1508.05,1514.05,1508.39,10150467.00
1545.95,1547.65,1528.05,1544.20,1538.42,7828402.00
1527.00,1546.20,1521.30,1542.35,1536.58,8081591.00
1541.65,1552.95,1510.15,1515.40,1509.73,13605737.00
1568.90,1572.05,1542.50,1546.45,1540.67,8251144.00
1560.10,1577.55,1557.80,1571.40,1565.52,11478429.00
1615.00,1617.55,1596.10,1599.10,1593.12,9724619.00
1573.70,1614.90,1571.80,1609.95,1603.93,9375484.00
1563.00,1580.00,1562.00,1575.85,1569.96,6739582.00
1566.75,1579.00,1555.55,1562.70,1556.85,9291724.00
1592.00,1593.90,1564.35,1566.60,1560.74,5436951.00
1580.00,1590.00,1572.40,1582.90,1576.98,5791522.00
1570.25,1573.85,1556.65,1568.20,1562.33,4720977.00
1555.60,1574.50,1550.60,1562.40,1556.56,5652698.00
1572.05,1573.60,1554.15,1561.95,1556.11,4650906.00
1556.15,1577.40,1546.50,1572.60,1566.72,5779807.00
1553.00,1568.00,1541.10,1554.90,1549.08,5982129.00
1574.00,1579.75,1544.00,1550.85,1545.05,9117022.00
1573.00,1577.50,1533.75,1552.70,1546.89,9594828.00
1592.75,1594.00,1572.60,1578.90,1572.99,5938786.00
1600.00,1614.45,1577.00,1586.50,1580.57,14275186.00
1581.95,1581.95,1547.85,1551.15,1545.35,8484822.00
1572.65,1584.15,1563.95,1580.30,1574.39,6284885.00
1559.95,1575.50,1556.10,1569.85,1563.98,4408336.00
1568.10,1576.35,1556.00,1560.25,1554.41,16152137.00
1551.15,1564.80,1551.00,1561.55,1555.71,6924313.00
1542.10,1569.50,1537.60,1546.50,1540.71,10218978.00
1545.00,1556.00,1528.55,1537.60,1531.85,6810577.00
1555.05,1572.40,1543.20,1547.65,1541.86,19904164.00
1467.00,1514.90,1465.00,1509.75,1504.10,13795569.00
1472.65,1486.00,1455.40,1459.20,1453.74,6435097.00
1465.65,1486.80,1463.15,1470.85,1465.35,7173674.00
1476.00,1481.60,1455.80,1462.75,1457.28,6518339.00
1430.00,1475.90,1430.00,1472.30,1466.79,11532364.00
1439.10,1444.25,1422.55,1427.80,1422.46,5192423.00
1449.00,1459.65,1441.30,1445.50,1440.09,5494844.00
1435.00,1463.00,1432.20,1458.60,1453.14,6438749.00
1442.70,1446.45,1428.50,1434.90,1429.53,6686289.00
1463.10,1468.95,1441.00,1447.30,1441.89,5799318.00
1465.90,1471.00,1445.10,1457.65,1452.20,6429329.00
1455.00,1461.80,1441.00,1456.90,1451.45,6356579.00
1484.00,1489.65,1461.70,1464.35,1458.87,8898168.00
1480.00,1484.55,1460.30,1479.10,1473.57,7470723.00
1445.50,1480.00,1442.10,1467.05,1461.56,11780494.00
1441.10,1441.45,1411.25,1431.20,1425.85,6190013.00
1401.00,1441.40,1386.55,1436.45,1431.08,10351384.00
1416.30,1425.95,1383.15,1392.40,1387.19,8432964.00
1425.00,1436.85,1403.35,1414.15,1408.86,12703054.00
1404.00,1427.90,1398.70,1416.35,1411.05,12856410.00
1375.00,1399.00,1372.00,1396.50,1391.28,7332464.00
1369.90,1379.65,1363.70,1372.35,1367.22,8870701.00
1362.50,1370.00,1354.30,1364.15,1359.05,4422075.00
1364.95,1364.95,1350.85,1358.00,1352.92,6123412.00
1363.70,1365.60,1336.55,1352.60,1347.54,7587648.00
1325.00,1369.00,1321.00,1362.75,1357.65,16003744.00
1308.70,1329.95,1292.50,1324.75,1319.79,8040938.00
1308.10,1320.80,1301.70,1310.10,1305.20,4599818.00
1319.90,1328.60,1303.85,1308.10,1303.21,6853954.00
1286.00,1314.70,1281.30,1311.05,1306.15,6183107.00
1337.00,1342.00,1293.30,1304.90,1300.02,8192597.00
1310.00,1335.75,1305.55,1332.25,1327.27,11549746.00
1292.50,1315.00,1284.00,1309.05,1304.15,8712980.00
1292.00,1298.80,1283.50,1296.80,1291.95,8389212.00
1284.00,1295.00,1268.85,1279.55,1274.76,8316894.00
1243.60,1298.80,1242.75,1278.70,1273.92,15982067.00
1274.15,1281.00,1235.00,1239.20,1234.56,9879751.00
1187.95,1269.90,1174.30,1254.35,1249.66,22019674.00
1207.85,1209.70,1172.65,1179.05,1174.64,6293454.00
1204.95,1216.30,1197.20,1205.70,1201.19,6827281.00
1211.00,1211.00,1193.50,1197.45,1192.97,7150435.00
1189.00,1219.10,1186.10,1210.75,1206.22,9393731.00
1212.00,1228.50,1206.90,1225.60,1221.02,5919260.00
1235.00,1240.45,1205.70,1210.35,1205.82,5431139.00
1222.50,1240.00,1222.50,1234.40,1229.78,5544468.00
1220.65,1233.00,1213.15,1222.20,1217.63,5370758.00
1203.00,1229.00,1195.25,1222.50,1217.93,10600234.00
1206.80,1213.20,1193.30,1198.60,1194.12,10512763.00
1200.55,1205.25,1186.05,1201.15,1196.66,15063355.00
1242.25,1243.00,1200.00,1206.40,1201.89,8563009.00
1245.50,1254.40,1221.00,1248.55,1243.88,11308120.00
1256.45,1260.25,1235.30,1241.75,1237.10,8635974.00
1273.75,1281.00,1256.05,1263.30,1258.57,5305639.00
1285.00,1285.00,1261.20,1274.85,1270.08,12984396.00
1294.00,1294.00,1259.00,1266.80,1262.06,8778739.00
1239.00,1284.00,1226.50,1275.85,1271.08,9741262.00
1270.95,1271.00,1238.90,1246.75,1242.09,6414937.00
1275.65,1278.65,1266.50,1270.95,1266.20,4881553.00
1289.80,1292.60,1272.60,1275.95,1271.18,6843460.00
1281.05,1296.80,1280.00,1292.60,1287.76,7459859.00
1291.20,1291.80,1273.00,1278.00,1273.22,10047496.00
1304.00,1304.45,1280.35,1288.25,1283.43,14487137.00
1233.15,1302.80,1226.00,1274.75,1269.98,47923444.00
1161.85,1175.50,1152.30,1162.10,1157.75,10043949.00
1108.35,1158.00,1095.30,1152.35,1148.04,14262936.00
1126.50,1138.55,1103.10,1109.40,1105.25,11588879.00
1134.75,1149.60,1122.00,1128.30,1124.08,13288909.00
1167.00,1167.00,1128.00,1143.35,1139.07,13897461.00
1175.70,1198.25,1162.10,1184.35,1179.92,10865385.00
1163.40,1188.20,1150.35,1180.25,1169.42,10344862.00
1175.75,1185.00,1162.40,1166.25,1155.55,9705619.00
1213.95,1220.00,1175.95,1180.90,1170.06,9533344.00
1216.90,1222.00,1205.10,1210.95,1199.84,8058035.00
1231.50,1242.50,1210.00,1213.80,1202.66,9320481.00
1264.00,1269.05,1227.00,1231.50,1220.20,9968545.00
1273.50,1278.80,1253.55,1259.10,1247.55,6943982.00
1285.00,1293.90,1260.40,1273.55,1261.86,9287951.00
1251.00,1284.50,1227.30,1280.50,1268.75,13300153.00
1268.20,1272.95,1242.70,1249.00,1237.54,7468515.00
1282.00,1286.40,1258.00,1261.85,1250.27,5459896.00
1294.30,1297.00,1280.00,1281.85,1270.09,4334958.00
1279.95,1294.90,1277.05,1293.00,1281.14,4604019.00
1285.00,1289.50,1270.35,1276.10,1264.39,4873164.00
